comparison,scope,split_seed,task,mean_accuracy_delta,accuracy_delta_ci_low,accuracy_delta_ci_high,mean_nll_improvement,episode_count
support_query_shuffle,split,6,ALL,0.0023611223532093895,-0.004374987797604667,0.008333344264990755,-0.00811731798781289,360
support_query_shuffle,split,36,ALL,-0.007897361781862048,-0.023904301975336342,0.007812512439365187,0.01807410783237881,360
support_query_shuffle,task,6,breastmnist,0.0009722348716523912,-0.009444430350429482,0.01013890458891789,-0.01652400659190284,180
support_query_shuffle,task,6,octmnist,0.003750009834766388,-0.0027777676801714634,0.010416675866064097,0.0002893706162770589,180
support_query_shuffle,task,36,bloodmnist,0.0017361227009031507,-0.01017360200898515,0.014236123880578412,0.009268320269054837,180
support_query_shuffle,task,36,pathmnist,-0.017530846264627246,-0.02972220569021172,-0.0016658794176247498,0.026879895395702787,180
support_label_removal,split,6,ALL,-0.00017361193895339965,-0.02048610855514805,0.02152777744664086,-0.04100777953863144,360
support_label_removal,split,36,ALL,0.004182099426786105,-0.0024945014508234126,0.01048635027060906,0.02916083468331231,360
support_label_removal,task,6,breastmnist,0.01541666438182195,0.0031944447052147658,0.029583332613110542,-0.016924762394693163,180
support_label_removal,task,6,octmnist,-0.01576388825972875,-0.025486109674804736,-0.005138889609111679,-0.06509079668256972,180
support_label_removal,task,36,bloodmnist,0.0044444460835721756,-0.0014583331036070984,0.01201389333440198,0.03990297317504883,180
support_label_removal,task,36,pathmnist,0.003919752770000034,-0.008086418281826708,0.014382713929646544,0.01841869619157579,180
wrong_support_task,split,6,ALL,0.0015972334891557693,-0.0049305409213735,0.007777787649797069,-0.011031359102990893,360
wrong_support_task,split,36,ALL,-0.007964878073996968,-0.024336400288674565,0.007882389913623526,0.01881822579436832,360
wrong_support_task,task,6,breastmnist,-0.0013888754778438143,-0.008753461887439088,0.005416680711011092,-0.0212531973918279,180
wrong_support_task,task,6,octmnist,0.004583342456155353,-0.0024305446321765583,0.011180565510359078,-0.0008095208141538832,180
wrong_support_task,task,36,bloodmnist,0.0019097324046823713,-0.010834193811234499,0.0148272710541884,0.010303446981641982,180
wrong_support_task,task,36,pathmnist,-0.017839488552676308,-0.029320973207553228,-0.002993033739427737,0.02733300460709466,180
